2023-11-09 15:18:21.426 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1cc9ada2, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@40753f5a, org.springframework.security.web.context.SecurityContextPersistenceFilter@429c5d7e, org.springframework.security.web.header.HeaderWriterFilter@5fd0c29, org.springframework.security.web.authentication.logout.LogoutFilter@46f3fd3c, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4dd160f6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4f35de13, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@55581473, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@b5103a9, org.springframework.security.web.session.SessionManagementFilter@6af71a00, org.springframework.security.web.access.ExceptionTranslationFilter@5922ab9b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7805730]
2023-11-09 15:18:21.551 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-09 15:18:21.560 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-09 15:18:21.570 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-09 15:18:21.577 INFO  [restartedMain] [com.chunjae.project5.Project5Application] - Started Project5Application in 1.984 seconds (JVM running for 2.384)
2023-11-09 15:18:28.229 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-09 15:18:28.230 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-09 15:18:28.230 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
2023-11-09 15:21:46.551 INFO  [restartedMain] [com.chunjae.project5.Project5Application] - Starting Project5Application using Java 17.0.7 on FULL8-013 with PID 14160 (D:\hk\project\solo\ChunjaeSoloProject5\build\classes\java\main started by db400tea in D:\hk\project\solo\ChunjaeSoloProject5)
2023-11-09 15:21:46.552 INFO  [restartedMain] [com.chunjae.project5.Project5Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-09 15:21:46.577 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-09 15:21:46.577 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-09 15:21:47.781 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-09 15:21:47.786 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-09 15:21:47.787 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-09 15:21:47.787 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-09 15:21:47.829 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-09 15:21:47.829 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1251 ms
2023-11-09 15:21:48.117 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5599a173, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@ace9197, org.springframework.security.web.context.SecurityContextPersistenceFilter@4ff71d02, org.springframework.security.web.header.HeaderWriterFilter@ec5c89e, org.springframework.security.web.authentication.logout.LogoutFilter@75e3bad0, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@53fe3200, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@715359ee, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@a95efdb, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@465a867e, org.springframework.security.web.session.SessionManagementFilter@6200d1cd, org.springframework.security.web.access.ExceptionTranslationFilter@68d43ab7, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@77881050]
2023-11-09 15:21:48.240 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-09 15:21:48.248 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-09 15:21:48.258 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-09 15:21:48.265 INFO  [restartedMain] [com.chunjae.project5.Project5Application] - Started Project5Application in 1.897 seconds (JVM running for 2.279)
2023-11-09 15:21:53.326 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-09 15:21:53.326 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-09 15:21:53.326 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
2023-11-09 15:23:25.777 INFO  [restartedMain] [com.chunjae.project5.Project5Application] - Starting Project5Application using Java 17.0.7 on FULL8-013 with PID 16112 (D:\hk\project\solo\ChunjaeSoloProject5\build\classes\java\main started by db400tea in D:\hk\project\solo\ChunjaeSoloProject5)
2023-11-09 15:23:25.778 INFO  [restartedMain] [com.chunjae.project5.Project5Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-09 15:23:25.815 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
